season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,driver_age
1950,6,reims,True,False,False,False,False,levegh,French,lago,9,9,0,0,25,0,0,0,44
1950,6,reims,True,False,False,False,False,bonetto,Italian,maserati,10,10,2,0,15,0,0,0,47
1950,6,reims,True,False,False,False,False,claes,Belgian,lago,14,11,0,0,22,0,0,0,33
1950,6,reims,True,False,False,False,False,rosier,French,lago,6,12,10,0,4,0,0,0,44
1950,6,reims,True,False,False,False,False,reg_parnell,British,maserati,11,13,4,0,10,0,0,0,39
1950,6,reims,True,False,False,False,False,rol,Italian,maserati,7,14,0,0,0,0,0,0,42
1950,6,reims,True,False,False,False,False,chiron,Monegasque,maserati,13,15,4,0,9,0,0,0,50
1950,6,reims,True,False,False,False,False,hampshire,British,maserati,17,16,0,0,0,0,0,0,32
1950,6,reims,True,False,False,False,False,sommer,French,lago,16,17,3,0,12,0,0,0,43
1950,6,reims,True,False,False,False,False,gonzalez,Argentine,maserati,8,18,0,0,0,0,0,0,27
1950,7,monza,True,False,False,False,False,farina,Italian,alfa,3,1,22,2,3,0,0,0,43
1950,7,monza,True,False,False,False,False,ascari,Italian,ferrari,6,2,8,0,6,0,0,0,32
1950,7,monza,True,False,False,False,False,serafini,Italian,ferrari,6,2,0,0,0,0,0,0,41
1950,7,monza,True,False,False,False,False,fagioli,Italian,alfa,5,3,24,0,2,0,0,0,52
1950,7,monza,True,False,False,False,False,rosier,French,lago,13,4,10,0,4,0,0,0,44
1950,7,monza,True,False,False,False,False,etancelin,French,lago,16,5,1,0,18,0,0,0,53
1950,7,monza,True,False,False,False,False,graffenried,Swiss,maserati,17,6,0,0,24,0,0,0,36
1950,7,monza,True,False,False,False,False,whitehead,British,ferrari,18,7,4,0,11,0,0,0,35
1950,7,monza,True,False,False,False,False,murray,British,maserati,24,8,0,0,0,0,0,0,40
1950,7,monza,True,False,False,False,False,harrison,British,era,21,9,0,0,29,0,0,0,44
1950,7,monza,True,False,False,False,False,sommer,French,lago,8,10,3,0,14,0,0,0,44
1950,7,monza,True,False,False,False,False,guy_mairesse,French,lago,11,11,0,0,0,0,0,0,40
1950,7,monza,True,False,False,False,False,rol,Italian,maserati,9,12,0,0,0,0,0,0,42
1950,7,monza,True,False,False,False,False,taruffi,Italian,alfa,7,13,0,0,0,0,0,0,43
1950,7,monza,True,False,False,False,False,fangio,Argentine,alfa,7,13,26,3,1,0,0,0,39
1950,7,monza,True,False,False,False,False,levegh,French,lago,20,14,0,0,28,0,0,0,44
1950,7,monza,True,False,False,False,False,fangio,Argentine,alfa,1,15,26,3,1,0,0,0,39
1950,7,monza,True,False,False,False,False,claes,Belgian,lago,22,16,0,0,27,0,0,0,34
1950,7,monza,True,False,False,False,False,ascari,Italian,ferrari,2,17,8,0,6,0,0,0,32
1950,7,monza,True,False,False,False,False,biondetti,Italian,ferrari,25,18,0,0,0,0,0,0,52
1950,7,monza,True,False,False,False,False,louveau,French,lago,16,19,0,0,0,0,0,0,40
1950,7,monza,True,False,False,False,False,comotti,Italian,maserati,26,20,0,0,0,0,0,0,44
1950,7,monza,True,False,False,False,False,trintignant,French,simca,12,21,0,0,0,0,0,0,32
1950,7,monza,True,False,False,False,False,chiron,Monegasque,maserati,19,22,4,0,9,0,0,0,51
1950,7,monza,True,False,False,False,False,sanesi,Italian,alfa,4,23,0,0,0,0,0,0,39
1950,7,monza,True,False,False,False,False,manzon,French,simca,10,24,3,0,15,0,0,0,33
1950,7,monza,True,False,False,False,False,bira,Thai,maserati,15,25,5,0,8,0,0,0,36
1950,7,monza,True,False,False,False,False,pietsch,German,maserati,27,26,0,0,0,0,0,0,39
1950,7,monza,True,False,False,False,False,bonetto,Italian,milano,23,27,2,0,17,0,0,0,47
1951,1,bremgarten,False,False,False,True,False,fangio,Argentine,alfa,1,1,0,0,0,0,0,0,39
1951,1,bremgarten,False,False,False,True,False,taruffi,Italian,ferrari,6,2,0,0,0,0,0,0,44
1951,1,bremgarten,False,False,False,True,False,farina,Italian,alfa,2,3,0,0,0,0,0,0,44
1951,1,bremgarten,False,False,False,True,False,sanesi,Italian,alfa,4,4,0,0,0,0,0,0,40
1951,1,bremgarten,False,False,False,True,False,graffenried,Swiss,alfa,5,5,0,0,0,0,0,0,37
1951,1,bremgarten,False,False,False,True,False,ascari,Italian,ferrari,7,6,0,0,0,0,0,0,32
1951,1,bremgarten,False,False,False,True,False,chiron,Monegasque,maserati,19,7,0,0,0,0,0,0,51
1951,1,bremgarten,False,False,False,True,False,moss,British,hwm,14,8,0,0,0,0,0,0,21
1951,1,bremgarten,False,False,False,True,False,rosier,French,lago,8,9,0,0,0,0,0,0,45
1951,1,bremgarten,False,False,False,True,False,etancelin,French,lago,12,10,0,0,0,0,0,0,54
1951,1,bremgarten,False,False,False,True,False,fischer,Swiss,ferrari,10,11,0,0,0,0,0,0,39
1951,1,bremgarten,False,False,False,True,False,schell,American,maserati,17,12,0,0,0,0,0,0,29
1951,1,bremgarten,False,False,False,True,False,claes,Belgian,lago,18,13,0,0,0,0,0,0,34
1951,1,bremgarten,False,False,False,True,False,guy_mairesse,French,lago,21,14,0,0,0,0,0,0,40
1951,1,bremgarten,False,False,False,True,False,whitehead,British,ferrari,9,15,0,0,0,0,0,0,36
1951,1,bremgarten,False,False,False,True,False,louveau,French,lago,11,16,0,0,0,0,0,0,41
1951,1,bremgarten,False,False,False,True,False,abecassis,British,hwm,20,17,0,0,0,0,0,0,38
1951,1,bremgarten,False,False,False,True,False,cabantous,French,lago,15,18,0,0,0,0,0,0,46
1951,1,bremgarten,False,False,False,True,False,villoresi,Italian,ferrari,3,19,0,0,0,0,0,0,42
1951,1,bremgarten,False,False,False,True,False,gonzalez,Argentine,lago,13,20,0,0,0,0,0,0,28
1951,1,bremgarten,False,False,False,True,False,hirt,Swiss,veritas,16,21,0,0,0,0,0,0,41
1951,2,indianapolis,True,False,False,False,False,wallard,American,kurtis_kraft,2,1,0,0,0,0,0,0,40
1951,2,indianapolis,True,False,False,False,False,nazaruk,American,kurtis_kraft,7,2,0,0,0,0,0,0,29
1951,2,indianapolis,True,False,False,False,False,mcgrath,American,kurtis_kraft,3,3,0,0,0,0,0,0,31
1951,2,indianapolis,True,False,False,False,False,ayulo,American,kurtis_kraft,3,3,0,0,0,0,0,0,29
1951,2,indianapolis,True,False,False,False,False,linden,American,sherman,31,4,0,0,0,0,0,0,29
1951,2,indianapolis,True,False,False,False,False,ball,American,schroeder,29,5,0,0,0,0,0,0,25
1951,2,indianapolis,True,False,False,False,False,banks,American,moore,17,6,0,0,0,0,0,0,37
1951,2,indianapolis,True,False,False,False,False,forberg,American,kurtis_kraft,24,7,0,0,0,0,0,0,40
1951,2,indianapolis,True,False,False,False,False,darter,American,deidt,4,8,0,0,0,0,0,0,38
1951,2,indianapolis,True,False,False,False,False,bettenhausen,American,deidt,9,9,0,0,0,0,0,0,34
1951,2,indianapolis,True,False,False,False,False,nalon,American,kurtis_kraft,1,10,0,0,0,0,0,0,38
1951,2,indianapolis,True,False,False,False,False,force,American,kurtis_kraft,22,11,0,0,0,0,0,0,34
1951,2,indianapolis,True,False,False,False,False,hanks,American,kurtis_kraft,12,12,0,0,0,0,0,0,36
1951,2,indianapolis,True,False,False,False,False,schindler,American,kurtis_kraft,16,13,0,0,0,0,0,0,42
1951,2,indianapolis,True,False,False,False,False,rose,American,deidt,5,14,0,0,0,0,0,0,45
1951,2,indianapolis,True,False,False,False,False,faulkner,American,kuzma,14,15,0,0,0,0,0,0,31
1951,2,indianapolis,True,False,False,False,False,davies,American,pawl,27,16,0,0,0,0,0,0,21
1951,2,indianapolis,True,False,False,False,False,agabashian,American,kurtis_kraft,11,17,0,0,0,0,0,0,37
1951,2,indianapolis,True,False,False,False,False,scarborough,American,kurtis_kraft,15,18,0,0,0,0,0,0,36
1951,2,indianapolis,True,False,False,False,False,mackey,American,hall,33,19,0,0,0,0,0,0,23
1951,2,indianapolis,True,False,False,False,False,stevenson,American,marchese,19,20,0,0,0,0,0,0,31
1951,2,indianapolis,True,False,False,False,False,parsons,American,kurtis_kraft,8,21,0,0,0,0,0,0,32
1951,2,indianapolis,True,False,False,False,False,green,American,kurtis_kraft,10,22,0,0,0,0,0,0,31
1951,2,indianapolis,True,False,False,False,False,ruttman,American,kurtis_kraft,6,23,0,0,0,0,0,0,21
1951,2,indianapolis,True,False,False,False,False,dinsmore,American,schroeder,32,24,0,0,0,0,0,0,38
1951,2,indianapolis,True,False,False,False,False,miller,American,kurtis_kraft,28,25,0,0,0,0,0,0,48
1951,2,indianapolis,True,False,False,False,False,walt_brown,American,kurtis_kraft,13,26,0,0,0,0,0,0,39
1951,2,indianapolis,True,False,False,False,False,ward,American,bromme,25,27,0,0,0,0,0,0,30
1951,2,indianapolis,True,False,False,False,False,griffith,American,kurtis_kraft,18,28,0,0,0,0,0,0,35
1951,2,indianapolis,True,False,False,False,False,vukovich,American,trevis,20,29,0,0,0,0,0,0,32
1951,3,spa,False,False,True,False,False,farina,Italian,alfa,2,1,4,0,5,0,0,0,44
1951,3,spa,False,False,True,False,False,ascari,Italian,ferrari,4,2,0,0,12,0,0,0,32
1951,3,spa,False,False,True,False,False,villoresi,Italian,ferrari,3,3,0,0,0,0,0,0,42
1951,3,spa,False,False,True,False,False,rosier,French,lago,7,4,0,0,18,0,0,0,45
1951,3,spa,False,False,True,False,False,cabantous,French,lago,8,5,0,0,0,0,0,0,46
1951,3,spa,False,False,True,False,False,andre_pilette,Belgian,lago,12,6,0,0,0,0,0,0,32
1951,3,spa,False,False,True,False,False,claes,Belgian,lago,11,7,0,0,22,0,0,0,34
1951,3,spa,False,False,True,False,False,levegh,French,lago,13,8,0,0,0,0,0,0,45
1951,3,spa,False,False,True,False,False,fangio,Argentine,alfa,1,9,9,1,1,0,0,0,39
1951,3,spa,False,False,True,False,False,chiron,Monegasque,lago,9,10,0,0,14,0,0,0,51
1951,3,spa,False,False,True,False,False,sanesi,Italian,alfa,6,11,3,0,7,0,0,0,40
1951,3,spa,False,False,True,False,False,taruffi,Italian,ferrari,5,12,6,0,4,0,0,0,44
1951,3,spa,False,False,True,False,False,etancelin,French,lago,10,13,0,0,19,0,0,0,54
1951,4,reims,False,False,True,False,False,fagioli,Italian,alfa,7,1,0,0,0,0,0,0,53
1951,4,reims,False,False,True,False,False,fangio,Argentine,alfa,7,1,10,1,2,0,0,0,40
1951,4,reims,False,False,True,False,False,ascari,Italian,ferrari,6,2,6,0,4,0,0,0,32
1951,4,reims,False,False,True,False,False,gonzalez,Argentine,ferrari,6,2,0,0,0,0,0,0,28
1951,4,reims,False,False,True,False,False,villoresi,Italian,ferrari,4,3,4,0,7,0,0,0,42
1951,4,reims,False,False,True,False,False,reg_parnell,British,ferrari,9,4,0,0,0,0,0,0,39
1951,4,reims,False,False,True,False,False,farina,Italian,alfa,2,5,12,1,1,0,0,0,44
1951,4,reims,False,False,True,False,False,chiron,Monegasque,lago,8,6,0,0,19,0,0,0,51
1951,4,reims,False,False,True,False,False,cabantous,French,lago,11,7,2,0,12,0,0,0,46
1951,4,reims,False,False,True,False,False,chaboud,French,lago,14,8,0,0,0,0,0,0,44
1951,4,reims,False,False,True,False,False,guy_mairesse,French,lago,19,9,0,0,27,0,0,0,40
1951,4,reims,False,False,True,False,False,sanesi,Italian,alfa,5,10,3,0,9,0,0,0,40
1951,4,reims,False,False,True,False,False,fangio,Argentine,alfa,1,11,10,1,2,0,0,0,40
1951,4,reims,False,False,True,False,False,fagioli,Italian,alfa,1,11,0,0,0,0,0,0,53
1951,4,reims,False,False,True,False,False,claes,Belgian,lago,12,12,0,0,18,0,0,0,34
1951,4,reims,False,False,True,False,False,rosier,French,lago,13,13,3,0,8,0,0,0,45
1951,4,reims,False,False,True,False,False,etancelin,French,lago,10,14,0,0,24,0,0,0,54
1951,4,reims,False,False,True,False,False,gordini,French,simca,17,15,0,0,0,0,0,0,30
1951,4,reims,False,False,True,False,False,schell,American,maserati,22,16,0,0,0,0,0,0,30
1951,4,reims,False,False,True,False,False,trintignant,French,simca,18,17,0,0,0,0,0,0,33
1951,4,reims,False,False,True,False,False,ascari,Italian,ferrari,3,18,6,0,4,0,0,0,32
1951,4,reims,False,False,True,False,False,simon,French,simca,21,19,0,0,0,0,0,0,31
1951,4,reims,False,False,True,False,False,manzon,French,simca,23,20,0,0,0,0,0,0,34
1951,4,reims,False,False,True,False,False,marimon,Argentine,maserati,15,21,0,0,0,0,0,0,27
1951,4,reims,False,False,True,False,False,graffenried,Swiss,maserati,16,22,2,0,14,0,0,0,37
1951,4,reims,False,False,True,False,False,whitehead,British,ferrari,20,23,0,0,0,0,0,0,36
1951,5,silverstone,False,False,True,False,False,gonzalez,Argentine,ferrari,1,1,3,0,9,0,0,0,28
1951,5,silverstone,False,False,True,False,False,fangio,Argentine,alfa,2,2,15,2,1,0,0,0,40
1951,5,silverstone,False,False,True,False,False,villoresi,Italian,ferrari,5,3,8,0,5,0,0,0,42
1951,5,silverstone,False,False,True,False,False,bonetto,Italian,alfa,7,4,0,0,0,0,0,0,48
1951,5,silverstone,False,False,True,False,False,reg_parnell,British,brm,20,5,3,0,13,0,0,0,40
1951,5,silverstone,False,False,True,False,False,sanesi,Italian,alfa,6,6,3,0,11,0,0,0,40
1951,5,silverstone,False,False,True,False,False,peter_walker,British,brm,19,7,0,0,0,0,0,0,38
1951,5,silverstone,False,False,True,False,False,shawe_taylor,British,era,12,8,0,0,0,0,0,0,36
1951,5,silverstone,False,False,True,False,False,whitehead,British,ferrari,8,9,0,0,0,0,0,0,36
1951,5,silverstone,False,False,True,False,False,rosier,French,lago,9,10,3,0,10,0,0,0,45
1951,5,silverstone,False,False,True,False,False,gerard,British,era,10,11,0,0,0,0,0,0,37
1951,5,silverstone,False,False,True,False,False,duncan_hamilton,British,lago,11,12,0,0,0,0,0,0,31
1951,5,silverstone,False,False,True,False,False,claes,Belgian,lago,14,13,0,0,22,0,0,0,34
1951,5,silverstone,False,False,True,False,False,farina,Italian,alfa,3,14,14,1,2,0,0,0,44
1951,5,silverstone,False,False,True,False,False,kelly,Irish,alta,18,15,0,0,0,0,0,0,38
1951,5,silverstone,False,False,True,False,False,ascari,Italian,ferrari,4,16,9,0,4,0,0,0,33
1951,5,silverstone,False,False,True,False,False,parker,British,maserati,16,17,0,0,0,0,0,0,43
1951,5,silverstone,False,False,True,False,False,murray,British,maserati,15,18,0,0,0,0,0,0,41
1951,5,silverstone,False,False,True,False,False,chiron,Monegasque,lago,13,19,0,0,19,0,0,0,51
1951,5,silverstone,False,False,True,False,False,john_james,British,maserati,17,20,0,0,0,0,0,0,37
1951,6,nurburgring,False,False,True,False,False,ascari,Italian,ferrari,1,1,9,0,6,0,0,0,33
1951,6,nurburgring,False,False,True,False,False,fangio,Argentine,alfa,3,2,21,2,1,0,0,0,40
1951,6,nurburgring,False,False,True,False,False,gonzalez,Argentine,ferrari,2,3,11,1,4,0,0,0,28
1951,6,nurburgring,False,False,True,False,False,villoresi,Italian,ferrari,5,4,12,0,3,0,0,0,42
1951,6,nurburgring,False,False,True,False,False,taruffi,Italian,ferrari,6,5,6,0,7,0,0,0,44
1951,6,nurburgring,False,False,True,False,False,fischer,Swiss,ferrari,8,6,0,0,0,0,0,0,39
1951,6,nurburgring,False,False,True,False,False,manzon,French,simca,9,7,0,0,0,0,0,0,34
1951,6,nurburgring,False,False,True,False,False,rosier,French,lago,15,8,3,0,12,0,0,0,45
1951,6,nurburgring,False,False,True,False,False,levegh,French,lago,19,9,0,0,28,0,0,0,45
1951,6,nurburgring,False,False,True,False,False,swaters,American,lago,22,10,0,0,0,0,0,0,24
1951,6,nurburgring,False,False,True,False,False,claes,Belgian,lago,18,11,0,0,23,0,0,0,34
1951,6,nurburgring,False,False,True,False,False,cabantous,French,lago,11,12,2,0,16,0,0,0,46
1951,6,nurburgring,False,False,True,False,False,trintignant,French,simca,14,13,0,0,0,0,0,0,33
1951,6,nurburgring,False,False,True,False,False,bonetto,Italian,alfa,10,14,3,0,13,0,0,0,48
